,preprocessed,category
2492,makfa макароны спирали в с грамм,бакалея
8228,картофель свежий цена кг,овощи_и_фрукты
12467,молочный процент kопееk,молочка
11399,корм д кошек felix дв вкус с ягн и куриц,животные
2392,трк бензин аи к,машина
12286,бананы вес,овощи_и_фрукты
12550,шоколадный батончик чио рио грамм яшкино,чай_и_сладкое
2958,сыр купеческий процент грамм белебеевский мк,гастрономия
8897,коровка из коренов кефир процент кг п пак коренов,молочка
13153,колбаса велком докторская вакуумная упаковка кусок грамм,гастрономия
2965,land йог с вишней процент грамм,молочка
11774,бепантен плюс грамм туба крем д наруж прим,здоровье
7386,капуста китайская пекинская вес кг,гастрономия
10271,корм д к пауч felix sensation грамм,животные
439,вафли яшкино с халвой грамм,чай_и_сладкое
11469,пиво bud светлое процент литр ст б,алкоголь
3418,тонер картридж panasonic kx fat a kx mb ru kx mb ru kx,компьютер
5096,конфеты сладкий снег классические неглаз,чай_и_сладкое
8713,меш д мус био глобус,для_дома
2185,сок добрый яблоко литр,напитки
323,крупа макфа манная грамм,бакалея
5843,пакет магнит белый пластиктрейд,упаковка
9965,перч приз детский ш ак пэ р,для_дома
9879,хэш брауни с луком штука,кафе
9016,,не_определена
7629,сливки простоквашино грамм,молочка
12233,лапша доширак курица грамм,бакалея
277,масло сыктывкар с сливочный несол в с процент,молочка
13062,селян хлеб столич нар пол грамм,хлеб
9192,помидор красный кнр,овощи_и_фрукты
6473,kуkусиkи семечки подсолнечника жареные грамм м упаковка,снеки
358,кофе большой,кафе
5493,kапуста белоkочанная,овощи_и_фрукты
5097,пиво балтика светлое экспортное ж б,алкоголь
12256,макароны мальтальяти спираль грамм,бакалея
10169,ядра арахиса сол со вк смет грамм,снеки
12681,батон подмосковный нарез классически,хлеб
4980,макароны минут перья рифленые кг,бакалея
12313,простокваш творог обрам процент грамм,молочка
10752,ветчина для завтраkа,гастрономия
4940,верм мартини бьянкосл б процент литр,алкоголь
4246,жесткий диск sata gb seagate firecuda st lx rpm cache mb,компьютер
3631,молоко пискаревский пастеризованный особ процент мл,молочка
4050,молоко пастеризованный процент грамм тба юнимилк,молочка
11856,раэ сырок тв гл ванил процент грамм,молочка
12745,ват пал ром литр штука,для_дома
102,mamba конф ап виш мал клуб грамм,чай_и_сладкое
6468,прокладки котекс ежедн люкс нормал,здоровье
9424,гель для душа и волос adidas get ready мужской мл,косметика
2404,itlv маслинысуп чер б к ж б грамм,овощи_и_фрукты
3189,пиво heineken св процент ст б литр,алкоголь
11025,хлеб каравай дарницкий подовый нар грамм,хлеб
10101,makfa изд мак спирали грамм,бакалея
9647,сигареты rothmans деми пачка,табак
11369,пиво paulaner hefe weissbier процент l,алкоголь
656,ирис золотой ключик грамм,чай_и_сладкое
664,томаты бакинские грамм,овощи_и_фрукты
9728,хлеб столичный формовой нарезка грамм,хлеб
2222,манго штука,овощи_и_фрукты
4950,салат кальмар с майонезом,кулинария
6747,открытка код ф,для_дома
3000,мисkа литр,для_дома
8743,дес бонжур лайм,чай_и_сладкое
5405,пискаревский творог процент зерн грамм,молочка
13513,улыбка радуги пнд пакет майка мм штука,упаковка
402,свеча home club снегов смcg,для_дома
10512,салат самый вкусный вес,кулинария
5936,пакет пятерочка х см,упаковка
4133,журнал моя любимая дача,для_дома
9389,трк бензин экто аи к,машина
13607,молоко д пит пастеризованный процент п б,молочка
11311,творог сыктывкарский мз обезжирен грамм,молочка
8460,пиво балтика светлое экспортное ж б,алкоголь
11768,ярмолпрод молоко отборное обережье процент грамм,молочка
11819,чудесный kрай печенье сдобное грамм к,чай_и_сладкое
7846,mdd фундуk жар пиkан,снеки
1052,оплатазак предоплата за очк линзы,услуги
10160,пиво holsten premium св литр,алкоголь
6787,хлебцы гречнев грамм,хлеб
7421,мандарины бэби вес,овощи_и_фрукты
11803,пакет магнит желтый красный п,упаковка
11315,марм жевательный chupa chups cola tube кола грамм,чай_и_сладкое
10105,нытв творог нытвен процент грамм,молочка
1098,хлеб хк фонд пшеничный с форм нар грамм,хлеб
5581,святой источник спортик вода пит негазированный литр пэт ак,напитки
13304,огурцы среднеплод глад грамм,овощи_и_фрукты
9099,квас царские припасы,напитки
11746,пакет майка большой см,упаковка
12620,белодерм экспресс спрей мл,здоровье
3773,lor палоч saltl сол клас грамм,снеки
3966,мтж носки женские,одежда_и_обувь
6146,лампа св диод philips bulb we тепл св,для_дома
9206,карамель trolls на палочке с кислой пудрой,чай_и_сладкое
1467,дск лимон фасованный подл штука,овощи_и_фрукты
622,нектар моя семья абрикосово персиковый l,напитки
8051,томаты кг,овощи_и_фрукты
4339,кофта девочка а,одежда_и_обувь
5935,пудинг гранд десерт двойной тоффи карамель процент грамм ehrmann р,молочка
3429,соус kлассич сен сой,бакалея
10876,чипсы estrella грамм лосось в сливочный рифлен,снеки
5629,батон осенний грамм,хлеб
13572,f h филе сельди оригин грамм,гастрономия
4718,ободоk рожkи см,животные
3459,грибы шампиньоны грамм,овощи_и_фрукты
1089,фасоль globus красная мл,овощи_и_фрукты
6481,поджарка из свинины грамм,кафе
10754,груши сезонные вес,овощи_и_фрукты
1742,бальзам д волос рецепты бабушк,косметика
4385,хлеб пита классическая в с гг ип коротаева,хлеб
5808,медвежонок барни пирожное с молоч нач грамм большев,чай_и_сладкое
4099,грамм салат мор кап дальневост,кулинария
12806,бананы кг,овощи_и_фрукты
10762,очиститель для пмм,для_дома
7860,льняные отруби грамм,хлеб
11697,гранат кг,овощи_и_фрукты
3978,картофель фасованный сетка кг,овощи_и_фрукты
10004,пюре яблоkо персиk агуша я сам грамм,дети
2579,nvy кроссовки женские для бега и,одежда_и_обувь
7159,форель радуж охлажденный вес,рыба
7976,морковь весовая кг,овощи_и_фрукты
5563,сметана процент кг пэ п чуп мозырские молочные прод,молочка
8006,хл хлеб чемп лидер нар грамм,хлеб
466,скумбрия балт берег кусочки х к грамм,гастрономия
1912,дet пит пpогрeсс сok ф няhя я,дети
11119,сметана вятушка процент п ст грамм,молочка
2650,хлебцы молодцы пшен ржан грамм,хлеб
3935,т дар нап яг ас таеж тр б а литр,напитки
3830,мл биолакт фрутоняня лес яг,молочка
7555,сырный соус порция промо,кафе
8697,сыр пл дружба,гастрономия
9242,биойогурт активиа грамм,молочка
4242,грамм palmolive мыло ромашка,для_дома
10012,вода ваш выб газированный литр,напитки
9853,д kош с kролиkом фел,животные
11476,резинка жевательный dirol маракуйя грамм,здоровье
93,батон нарезной грамм,хлеб
8399,русск снеки хруст вк краба грамм,гастрономия
10070,нектар фруто няня банан мл т,напитки
453,смесь maggi д пр неж куриный томат базил,бакалея
4772,подвес е х w d пластик желтый rosan,для_дома
3400,соус стебель бамбука мл,бакалея
11287,чипсы lay s strong стрый чили грамм,снеки
10279,зефир маршмеллоу guandy sweet s,чай_и_сладкое
13675,vetta доска разделочная пластик,для_дома
10243,вятушkа снежок процент кг т р kиро,молочка
8189,кинза пучок грамм,овощи_и_фрукты
5298,дом в дер молочный дер процент процент мл,молочка
6226,стакан литр белый штука,для_дома
7826,мармелад дней дольки вкус лим жел,чай_и_сладкое
12824,тыква кг,овощи_и_фрукты
7704,шоколад alpen gold молочный грамм,чай_и_сладкое
5941,зол кол пирож кор белков х грамм,чай_и_сладкое
11374,майонез махеевъ провансаль м процент мл,бакалея
12727,вафли вв сливочн грамм,чай_и_сладкое
1148,иванова пасека мёд натур цветочн,чай_и_сладкое
12619,нож керамика см си,для_дома
8828,сигареты ld club platinum п,табак
4389,лосось рубленый с чесноком грамм ж б русское море,гастрономия
7766,груша конференц,овощи_и_фрукты
6482,пюре картофельное грамм,кафе
12513,бензин аи к,машина
13080,шашлык куриный нежный п ф,кулинария
9870,цезарь пицца см,кафе
11058,сыкт батон нарезной грамм,хлеб
6114,бананы вес кг,овощи_и_фрукты
11906,батон нарезной нарезанный грамм,хлеб
5527,цефтриаксон пор д приг р р в упак,здоровье
7254,сигареты rothmans аэро блю пачк,табак
1277,сыр адыгейский белый медведь,гастрономия
10033,хлеб ирландский с черносливом по,хлеб
7591,йогурт danone данис фант шоколадный дуэт процент,молочка
1114,nescafe classic кофе натур раств,чай_и_сладкое
11761,продукт творожный даниссимо киви,молочка
6644,трк аи к,машина
7521,печенье клубника грамм,чай_и_сладкое
6839,трк бензин аи к,машина
786,морс ягодн сбор,напитки
9743,майонез махеевъ прованс процент д п мл,бакалея
7753,шоколад kinder maxi грамм,чай_и_сладкое
10007,сытоед блюдо шниц карт пюр грамм,кулинария
12755,журнал семь дней,для_дома
10251,вл салф антибак штука,для_дома
4921,хлеб тостовый канапэ ролл нарезка,хлеб
9782,nesc наб кофе g crema грамм,чай_и_сладкое
2117,kпб василиса сп бязь тдл текстиль,для_дома
9299,чупа чупс xxl трио грамм,чай_и_сладкое
776,семейные секреты брокколи соцвет,овощи_и_фрукты
8356,пепси кола литр,кафе
11722,гематоген русский детский грамм ф,здоровье
8539,трк бензин экто аи к,машина
11880,активиа йогурт процент грамм натур б,молочка
7915,краска д в palette фитолиния св рус,косметика
8672,хурма импорт вес,овощи_и_фрукты
7549,макароны barilla грамм,бакалея
4240,тимьян fine life грамм,бакалея
1752,пирог курник,чай_и_сладкое
982,хрустим сухари кальмар шашлык куриный кр,снеки
686,салат с ветчиной и сыром,кулинария
13250,колготки женские cotton den nero,одежда_и_обувь
6064,ritter sport шоколад альпийское молоко грамм,чай_и_сладкое
8164,хлеб ржано пшеничный грамм погоров,хлеб
4032,попкорн шоу тайм свч соль грамм,гастрономия
4664,led панель квад бол,для_дома
7346,пакет фирменный см мкм гм палата маечка бол,упаковка
3757,prim резин д волос х рдв штука,для_дома
10669,adren нап game fuel эн газированный литр,напитки
6351,пакет пятерочка х см,упаковка
3570,молоко д романов луг пит у пас,молочка
10489,томаты кг,овощи_и_фрукты
5191,булочка дюймовочка грамм упак беж хлеб,хлеб
2557,укроп пакет грамм,бакалея
2235,продукт данон творожный грамм,молочка
172,напиток pediasure малоежка с н,напитки
12802,картофель кг,овощи_и_фрукты
3272,зелень штука салат левистро экогеос ст ди,овощи_и_фрукты
11564,помидорkа томатная паста грамм с б десан,овощи_и_фрукты
3119,салф вл гиг е ш кд,для_дома
1429,огурец длинноплодный грамм,овощи_и_фрукты
6843,десерт первым делом какао арах,чай_и_сладкое
8280,x рис жасмин пак мистраль,бакалея
10795,пакет spar большой штука,упаковка
10542,водка лента original classic процент l,алкоголь
11074,рычаг стеклоочистителя левый с грамм штука,машина
8103,пюре груша натуральное грамм фрутоняня p,дети
13445,kд жевательный марм мишk,чай_и_сладкое
11286,д п нект фрутоняня яблочно вишнев литр,дети
6517,чай akbar пак х грамм грамм,чай_и_сладкое
12274,яблоки фуджи кг,овощи_и_фрукты
5859,каша фрутоняня молочный злаков литр,дети
7686,напиток черноголовка литр,напитки
5437,груша конференция цена за кг,овощи_и_фрукты
4585,напиток б а pepsi пепсилайт с газированный l,напитки
6791,газета аиф здоровье,для_дома
10952,булочка для гамбургера грамм,хлеб
9125,напиток кис молочный снежок,молочка
12366,у вода badua бадуа пэт литр,напитки
11397,корм д кош felix аппет кус форель грамм,животные
6003,сметана процент грамм,кафе
8911,мясо мидии варено мороженое в,рыба
5989,фн сок малышам яблочн осв мл,дети
10878,палочки доп,кафе
9475,томат утренняя роса,овощи_и_фрукты
12791,кофе станд,кафе
12546,пф из рыбы филе тилапии изгот из морож сырья сп,рыба
4111,грамм domestos стикер д унит лим,для_дома
7538,из сыктывкара кефир процент литр ф,молочка
8619,стиральный порошок ушастый нянь кг,для_дома
12038,курган говяд туш гост в с грамм,бакалея
7324,т бумага familia plus маг цвет сл штука,для_дома
2570,мандарины марок вес,овощи_и_фрукты
703,икра имит черная в сырном соус,гастрономия
6166,перец мини микс упаковка,овощи_и_фрукты
8041,losk гель для стирки автомат колор,для_дома
2126,пакет с выруб усил ручкой х в ас,упаковка
12110,масло подсолнечное рафинированное сто рецептов п б литр,бакалея
4589,сидр medovarus яблочный игр жемч полусладкое процент l,алкоголь
9947,майонез слобода оливковый процент,бакалея
1281,сметана простоквашино процент грамм,молочка
13011,nivea бальзам д рук sos восстановлен мл байерсд,косметика
6256,разрыхлитель теста грамм dr oetker м,бакалея
10943,лук эконом вес кг,овощи_и_фрукты
2358,слав шоколадный бел молочный с цел фунд грамм,чай_и_сладкое
2122,аппетиссимо желе вишня грамм преобра,чай_и_сладкое
11303,горошек зеленый лента мл,овощи_и_фрукты
4266,гамбургер,кафе
8462,хлебцы щедрые гречневые грамм,хлеб
12411,хлеб армянский домашний тонкий,хлеб
4631,н п cв к supernova led w d,для_дома
1283,мин вода родники абхазии литр газированный пб,напитки
13383,шоколад россия щд тём с фунд и печ грамм,чай_и_сладкое
10069,морс фруто няня клюква малина сн,напитки
4817,kit kat шокол молочный с хр вафельный грамм,чай_и_сладкое
8947,карбонад свиной традиционный к,гастрономия
11788,vит ов грамм ферм прод с ит тр грамм,гастрономия
9327,футболка с кор рукавом,одежда_и_обувь
1046,молоко вкусняев грамм,молочка
10435,palmol гель инт увл д душ мл,косметика
3862,пакет пятерочка х см,упаковка
8109,пиво хамовники венское литр,алкоголь
3485,тет литр обл тетр зеленый,для_дома
9098,вода негазированный литр о,напитки
1013,сыр дней российский процент кусок грамм,гастрономия
11490,прокладки kotex янг сетч нормал штука,здоровье
12510,цезарь ролл,кафе
8885,трк бензин неэтилированный аи к,машина
12047,карта лояльности тс,услуги
7637,квартет hortex овощной грамм,овощи_и_фрукты
2308,maggi приправ овощ сухой ов грамм,бакалея
12671,аист хоз мыло с глицерином грамм аист,для_дома
7385,напиток б а coca cola zero l,напитки
10458,хлеб бородин глофа форм грамм,хлеб
5451,la fresh влажные салфетки антибакт штука новые техн,для_дома
704,продукт йогуртный fruttis легк,молочка
11998,хлебный дом батон утренний грамм,хлеб
13185,мука с пудовъ конд самоподним кг,бакалея
5800,фемибион наталкеа до конца,здоровье
6366,картофель свежий урожай,овощи_и_фрукты
10663,хлеб дом хлеб марьин завар грамм,хлеб
6332,грибы шампиньоны кг,овощи_и_фрукты
6764,мандарины кг,овощи_и_фрукты
11412,напиток шоколадный nestle nesquik грамм,чай_и_сладкое
12241,хлеб монастырский в с грамм,хлеб
10543,имбирь маринованный вес,бакалея
11514,пиво велкопоповецкий козел процент ж б литр,алкоголь
9742,жевательный рез dirol мята б сахара грамм,здоровье
8016,бритва venus gillette,косметика
11647,фн пюре яблоко детское грамм,дети
10473,грамм ц плов из свинины вес,кулинария
1637,салат с сельдью вес,кулинария
1876,orbit xxl сладкая мята жеврезинка,здоровье
11427,сыр бобровский сз бобров сливочный процентф у вес,гастрономия
8552,печень трески морской котик на,гастрономия
3965,трусы тан женские s xl,одежда_и_обувь
6239,базовое офтальмологическое обследование в вкпо,здоровье
7134,fish h сайра тихоок натур грамм,рыба
8246,карав хлеб англ диет нар грамм,хлеб
3365,томаты кг,овощи_и_фрукты
1937,клей карандаш хамеле,для_дома
10255,чипсы лэйс сметана и зелень грамм,снеки
8948,сервелат русский в к вакуумная упаковка омпк,гастрономия
6701,молоко сгущенное цельное с сахаром процент гост ж б грамм к,чай_и_сладкое
2572,пиво бохол квик литр,алкоголь
3473,академия комфорта мешки д мусора литр,для_дома
1063,мышь беспроводная sven rx wireless usb,компьютер
10822,kонфетзолотой степ,чай_и_сладкое
12336,творожн зерно процент грамм,молочка
3904,бананы свежий цена за кг,овощи_и_фрукты
9407,печенье чайнушки сахарное вес мастер сладостей,чай_и_сладкое
11727,сметана процент кг пл ст любинск,молочка
11658,молоко у пастеризованный амурское раздолье процент литр т п бмк,молочка
11145,напиток б а fanta апельсиновая l,напитки
13669,ветчина в оболочке н о вареная в с,гастрономия
13067,р вк сыр ореховый процент грамм,молочка
11686,unic шпажки для шашлыков tg,для_дома
4062,мясн пр колб из колбаса вареная докторская ката сургут,гастрономия
12849,горчица махеевъ русская грамм,бакалея
7184,бур sds х мм dexter,для_дома
135,биотворог тема детский пит с груш процент грамм,дети
12410,пиво абаканское аян светлое литр,алкоголь
5525,валосердин капли орал фл упак,здоровье
10421,напиток coca cola газированный пэт литр,напитки
12056,чипсы в ассорт грамм,снеки
3909,big bon лапша в пакет курица соус,бакалея
7101,dirol kлуб череш,здоровье
9714,уголок меб плоскии х мм,для_дома
1730,подушkа ортопедичесkая детсkая п грамм trelax,дети
7824,молоко пастеризованный пит цельн разл процент процент,молочка
2980,папа может мясосод пр сосиски сочные,гастрономия
5861,кашка фрутоняня молочный пшенич литр,дети
5524,цефтриаксон грамм фл,здоровье
2376,масло сладко сливочное брест литр,молочка
5514,авоkадо,овощи_и_фрукты
13622,десерт фрукт zuegg апельсин экстра грамм,чай_и_сладкое
1767,подставка универсальная,для_дома
12618,ушастый нянь гель д мытья детский посуды,для_дома
7372,шоколадное яйцо киндер сюрприз,дети
3200,семечки антошка жар грамм,снеки
1753,пирог дрожжевой с яблоком,чай_и_сладкое
12359,пирожное ореховое грамм ама,чай_и_сладкое
10893,валосердин капли орал фл упак,здоровье
5613,нож керам цв см ручка си,для_дома
7550,изд х б мастер пирогов грамм,хлеб
11805,сельская ярмарка картофель свежи,овощи_и_фрукты
13446,kреkер галета вес,хлеб
2393,нагрудник детский бытпласт,дети
5224,шоколад kitkat mini молс хруст вафельный вес,чай_и_сладкое
3693,нёрф элит диструптор бластер,дети
9894,яблоки грени смитт кг,овощи_и_фрукты
13128,жевательный резинка orbit белосн нежн мята грамм,здоровье
1643,дан пр тв хр шар грамм,молочка
13279,пиво велк коз бог хм ж б литр,алкоголь
6262,александров сырок с молоком сгущенным вареным процент грамм,молочка
5360,пряниk грамм,чай_и_сладкое
1503,баkансkое черное пиво темн непаст н,алкоголь
2721,хурма кг,овощи_и_фрукты
5653,мясн пр колбаса московс гост в с в к в брянски,гастрономия
5874,агуша пюре фрукт яблочный кл твор грамм,дети
5607,морковь свежий цена за кг,овощи_и_фрукты
10998,кефир агуша процент д детского пи,дети
7887,жевательный резинка orbit драже грамм,здоровье
6906,пакет майка окей эко пндбио,упаковка
11440,багет с ветчиной и сыром грамм,кулинария
12864,каша nestle молочный мед абрикос,дети
714,корм д кошек тчн говядина,животные
9539,эком масло крест сливочный в с грамм,молочка
10384,паштет хаме грамм печень утки овощи россия,гастрономия
582,ягодная поляна ряженка процент литр,молочка
7531,торт коровка ассорти грамм,чай_и_сладкое
9531,свекла кг,овощи_и_фрукты
624,пакет лента средний майка кг,упаковка
7634,зефир шпек грамм haribo,чай_и_сладкое
9667,апельсины свежий цена за кг,овощи_и_фрукты
1436,молочный пастеризованный процент литр,молочка
8446,варенец коровка из кореновки процент грамм домаш линия,молочка
5623,агуша я сам йогурт ягодное ассорти процент грамм дой п,дети
5474,молоко веселый луг литр процент п эт оао брянский молочный комби,молочка
5068,десерт твор чудо творожок клуб процент грамм,молочка
4702,краска интерьерная,для_дома
10325,мини салями грамм,гастрономия
6445,сырок свитлогорье тв кар гл ванил процент грамм,молочка
9267,кр кар батон с отруб нар грамм,хлеб
2245,молоко цельное штука,молочка
12639,соус астория лук со сметаной,бакалея
5648,т бум б втулки эконом грамм папиррус,для_дома
13488,kлинса kонтейнер д биомат универс ст,здоровье
3341,сыр творожный карат виолеттe с,гастрономия
12765,перец красный сладкий кг,овощи_и_фрукты
2545,т б рл с р белая,для_дома
12227,dr oetker дрожжи сухие грамм сашет онке,бакалея
5283,печенье искушение,чай_и_сладкое
4229,литр сок natur pur гранатов,напитки
8564,апельсины свежий цена за кг,овощи_и_фрукты
177,изд слоеные рулеты банан в с грамм п п,чай_и_сладкое
2978,lowenbrau пиво оригинальное ж б литр,алкоголь
11603,danone прод творож овс курага ми,молочка
2125,пиво живое светлое непаст литр пэт,алкоголь
8624,биойогурт ост живо пит персик процент кг,молочка
1531,игристое вино итальянское la m,алкоголь
5721,сахар белый кристаллический фасованный кг,бакалея
1698,пакеты средний био,упаковка
8753,конф вв жел микс кг,чай_и_сладкое
2968,био бал биопрод кефир процент грамм,молочка
297,выпечка датская,кафе
5419,колом вафли сливочные плен грамм,чай_и_сладкое
4701,клей quelyd,для_дома
11758,сосиски дымовские грамм вакуумная упаковка дымов,гастрономия
1284,чай липтон лимон литр жб,чай_и_сладкое
5512,шариkи шоkол,чай_и_сладкое
3619,напиток к м ростовский айран процент грамм,молочка
4135,свеча арома столбик х см,для_дома
5747,молоко мозырское процент литр,молочка
11681,бананы кг эквадор,овощи_и_фрукты
4581,майонез ряба провансаль процент дпд грамм,бакалея
10638,сыр швейцарский процент,гастрономия
6180,верес горчица французская грамм,бакалея
8706,батон дачный нар,хлеб
4263,пакет зельгрос майка штука,упаковка
9550,p fit корм д вз кош с гов грамм,животные
295,пирог с,кафе
7520,печенье клубника грамм,чай_и_сладкое
6096,киви голд кг,овощи_и_фрукты
3493,kолдреkс хотрэм пор д р ра лимон n,здоровье
8527,иван чай пак грамм кор пирамидки штука ндс процент,чай_и_сладкое
1230,b хлебцы самарские рисовые грамм п э,хлеб
1808,сметана грамм пр,молочка
1495,perfect fit kорм д кош стер с курице,животные
13610,сигареты филип моррис компакт,табак
5980,пакет пятерочка х см,упаковка
4797,кофе тудэй эспрессо кристалл грамм м у,чай_и_сладкое
249,f h форель ф кус с с вакуумная упаковка грамм,гастрономия
9430,бальзам после бритья eveline men extreme sensitive в защита от раздражения мл,косметика
10765,kетчуп хайнц ит м,бакалея
3476,т бумага из набережных челнов сл р,для_дома
12952,бананы кг,овощи_и_фрукты
620,напиток б а свят источн првода лимон l,напитки
9093,напиток nescafe alegria a амер мл,чай_и_сладкое
11006,бананы свежий цена за кг,овощи_и_фрукты
2905,горошек консервированный грамм ж,овощи_и_фрукты
12454,напиток питень янтарный брожения литр пэт,напитки
1473,всего,не_определена
8569,пирог лакомый кусочек,кафе
12871,сок фрутоняня яблочный черн смор,дети
1458,sp салат с горбушей грамм к кг,кулинария
215,бальзам оп ль elseve восст мл,косметика
12939,мандарины свежие цена за кг,овощи_и_фрукты
7552,шткур крылышки,кафе
8772,перец красный,овощи_и_фрукты
6789,овс диета очищ грамм,овощи_и_фрукты
11523,коф нaпитok b маk koфe грамм,чай_и_сладкое
10233,перчат лента пар чер с пвх р,для_дома
11975,ps fifa,компьютер
13603,wer orig карамель сливочный грамм,чай_и_сладкое
6627,мин вода ессентуки емв литр,напитки
1372,kофе яkобс миллиkано,чай_и_сладкое
8872,майонез грамм липс провансаль ст,бакалея
6072,александров сырок с молоком сгущенным вареным процент грамм,молочка
12318,биойогурт активиа грамм,молочка
8021,пакет пятерочка х см,упаковка
13562,капуста белокочанная кг,овощи_и_фрукты
2939,мандарины марокко,овощи_и_фрукты
4046,семейные секреты основа для пиццы грамм п пл мороз,гастрономия
10106,дан пр тв бр шоколадный грамм,молочка
6920,тенд крупа гречнев ядрица грамм,бакалея
4431,зубная нить colgate,здоровье
1420,шприц х комп мл,здоровье
9903,творож паста савушкин продукт процент грамм кокос миндаль,молочка
10882,рулет с корицей в с штука грамм ритейл,чай_и_сладкое
11926,геркулес грамм грамм,бакалея
10447,майон слобода ол,бакалея
712,шоколад alpen gold белый с мин,чай_и_сладкое
966,чипсы русская картош,снеки
4621,м м грамм арахис,чай_и_сладкое
7191,ряженка стм процент пюр пак грамм,молочка
1234,b сыр творожный русская филадельфия с зеленью грамм,гастрономия
8371,консервы китекат с рыбой в соу,животные
2018,kонверт e,для_дома
10331,пакет spar большой штука,упаковка
13055,прод сыр круглый год грамм,гастрономия
4590,майонез ряба провансаль процент ведро грамм,бакалея
5666,каспер влажные салф для детей с клапаном штука кот,дети
707,салфетки влажные д детей тчн,дети
11004,чеснок свежий цена за кг,овощи_и_фрукты
9159,б п молочный пит пастеризованный процент мл,молочка
3769,тма аскорбиновая к та таблетка клубника к,здоровье
4791,творог савушкин грамм,молочка
5840,масло сл брест литр,молочка
10214,лук репчатый свежий цена за кг,овощи_и_фрукты
5928,лаваш армянский тонкий грамм коломенское россия,хлеб
8328,набор шариковых ручек штука,для_дома
1380,слобода майонез провансаль оливковый мл сашет э,бакалея
2697,халв прест подсол,чай_и_сладкое
7696,йогурт epica грамм,молочка
4676,угол внешний artens бергамо штука мм,для_дома
7719,биопакеты майка пятью пять,упаковка
5940,вмк карбонад славянск к в грамм,гастрономия
1363,песkобетон kг axton,для_дома
1810,пастеризованный белев вишня грамм,чай_и_сладкое
13318,с порош bon bn,для_дома
1645,к ц вода пит б грамм литр,напитки
9641,gl vil кукуруза сахар ж б грамм,овощи_и_фрукты
5240,чистая линия шампунь витамин морошка облепиха д ломк осл м,косметика
10474,томаты на ветке вес кг,овощи_и_фрукты
5787,водка русская валюта люкс премиум литр процент,алкоголь
2371,яблоки грени смит фасованный кг,овощи_и_фрукты
1112,принцесса нури чай высок с яр,чай_и_сладкое
3424,проkл kи гиг comt kд,здоровье
6956,биг тейсти,кафе
2908,мягкий знак deluxe салф бум белы,для_дома
13596,разовый полный,услуги
9617,ежк кетчуп томатный грамм д п жировой комбинат,бакалея
12693,средство д мытья посуды aos ли,для_дома
11347,чипсы lay s strong креветка грамм,снеки
8732,дес ломтишка гл вес,чай_и_сладкое
4799,пиво бочковое гост литр,алкоголь
6683,тарелка классическая одноразовая пластиковая мм,для_дома
595,пакет лента средний майка кг,упаковка
12401,д п пюре тема цыпленок с говядиной грамм,дети
4694,выкл двойной с подсветкой сл к valena,для_дома
3055,хлеб сергеевский,хлеб
9744,д п пюре тема говядина греча ж б,дети
13580,коп молочный пастеризованный процент мл,молочка
9826,ватн палочkи i kд,для_дома
9164,бланк игр ком вгл спорт жил литр,услуги
4061,нектар мультифрукт литр тетра пак санфрут,напитки
8892,аскорбиновая к та с сах крутка клубника х ё,здоровье
13523,мясн пр рагу свиное охлажденный кг зм,гастрономия
4202,грамм дрожжи сухие саф момент,бакалея
1673,,не_определена
5615,шебекинские макароны спагетти в с грамм,бакалея
40,мандарины кг,овощи_и_фрукты
1158,сок фрутоняня яблоко персик мл с меся,дети
10085,карбонад столичный к в абсолют,гастрономия
6877,мажитэль j нап сывор с соком ар,напитки
12945,grass milana kрем мыло жид черника в йогурте литр т,для_дома
13145,напиток б а coca cola l,напитки
12095,хлебец нх в дорогу грамм,хлеб
12037,главпрод языки свин в жел грамм,гастрономия
4768,kартина на холсте x большой путь,для_дома
6697,платки носовые ромашка клубника штука зева,для_дома
12048,картридж hp cz ae для hp dj ink advantage all in one all in one all in one black ориг,компьютер
10087,шоколад ritter sport extra nut м,чай_и_сладкое
12232,шампунь pantene pro v в глад,косметика
6106,тд творожок альбуминный кг,молочка
11851,яблоко сезонное кг,овощи_и_фрукты
6876,батон нарезной в с нарезка грамм,хлеб
6254,масло вологодское процент уомз грамм,молочка
147,пленка дней пищевая см м мкм,для_дома
4362,огурцы среднеплодные гладкие грамм,овощи_и_фрукты
3542,сэн запр д мор по кор процент грамм,бакалея
9925,акт биопр брус клюк овс процент грамм,молочка
10077,вода святой источник дисней пить,напитки
4778,петрушка свежая зеленая грамм,овощи_и_фрукты
10457,рус хлеб булоч столичн штука грамм,хлеб
